snapshot,bids_price,asks_price,timestamps,simple_mid_price,mid_price,spread,imbalance
51,76825.13,76825.14,18:09:21,76825.13500000001,76825.13004076405,0.00999999999476131,-0.7121268250682358
52,76820.84,76820.85,18:09:26,76820.845,76820.84000148425,0.010000000009313226,-0.8101680335798062
53,76813.46,76813.47,18:09:31,76813.465,76813.46108561136,0.00999999999476131,-0.4234905832730973
54,76810.91,76810.92,18:09:36,76810.91500000001,76810.91053840955,0.00999999999476131,-0.5245379590969588
55,76810.91,76810.92,18:09:41,76810.91500000001,76810.91209885386,0.00999999999476131,-0.48100703296624225
56,76810.91,76810.92,18:09:46,76810.91500000001,76810.91280027891,0.00999999999476131,-0.5037390292784097
57,76810.91,76810.92,18:09:51,76810.91500000001,76810.91603730491,0.00999999999476131,0.021805480233997292
58,76810.91,76810.92,18:09:56,76810.91500000001,76810.91566749786,0.00999999999476131,-0.24001180954385853
59,76810.91,76810.92,18:10:01,76810.91500000001,76810.91669136184,0.00999999999476131,0.04429405734446064
60,76810.91,76810.92,18:10:06,76810.91500000001,76810.9165307276,0.00999999999476131,-0.21248994462062173
61,76810.91,76810.92,18:10:11,76810.91500000001,76810.91619296833,0.00999999999476131,-0.18965621810456465
62,76810.91,76810.92,18:10:16,76810.91500000001,76810.91618441448,0.00999999999476131,-0.2401634536319195
63,76810.91,76810.92,18:10:21,76810.91500000001,76810.91610122906,0.00999999999476131,-0.23698135302795104
64,76810.91,76810.92,18:10:26,76810.91500000001,76810.91596044834,0.00999999999476131,-0.23824382708212805
65,76810.91,76810.92,18:10:31,76810.91500000001,76810.91294996165,0.00999999999476131,-0.4308510738039832
66,76810.91,76810.92,18:10:36,76810.91500000001,76810.91582390016,0.00999999999476131,-0.13687444762046846
67,76810.91,76810.92,18:10:41,76810.91500000001,76810.91380968525,0.00999999999476131,-0.4188933626159103
68,76810.91,76810.92,18:10:46,76810.91500000001,76810.91001204295,0.00999999999476131,-0.6403452138806849
69,76797.15,76797.16,18:10:51,76797.155,76797.15150992107,0.010000000009313226,-0.5297165675945494
70,76803.45,76803.46,18:10:56,76803.455,76803.45865182979,0.010000000009313226,0.3769616413004996
71,76810.11,76810.12,18:11:01,76810.11499999999,76810.1190534603,0.00999999999476131,0.3598937499853257
72,76810.11,76810.12,18:11:06,76810.11499999999,76810.11969370751,0.00999999999476131,0.46007258131898726
73,76819.9,76819.91,18:11:11,76819.905,76819.90811188039,0.010000000009313226,0.34784730674261805
74,76819.9,76819.91,18:11:16,76819.905,76819.90972232047,0.010000000009313226,0.4364715236048442
75,76821.85,76821.86,18:11:21,76821.85500000001,76821.85760597473,0.00999999999476131,0.361371166044422
76,76821.85,76821.86,18:11:26,76821.85500000001,76821.85848216164,0.00999999999476131,0.3919460355834711
77,76821.85,76821.86,18:11:31,76821.85500000001,76821.85574975767,0.00999999999476131,0.14956231988359528
78,76821.85,76821.86,18:11:36,76821.85500000001,76821.85645209193,0.00999999999476131,0.2358581697200804
79,76796.42,76796.43,18:11:41,76796.42499999999,76796.42002799227,0.00999999999476131,-0.5891090089379211
80,76793.26,76793.27,18:11:46,76793.265,76793.26082913068,0.010000000009313226,-0.3670267399893796
81,76793.26,76793.27,18:11:52,76793.265,76793.26107256343,0.010000000009313226,-0.34015122518397634
82,76793.26,76793.27,18:11:56,76793.265,76793.26074843865,0.010000000009313226,-0.37045413421724155
83,76783.42,76783.43,18:12:01,76783.42499999999,76783.42106228645,0.00999999999476131,-0.43488778864145883
84,76781.03,76781.04,18:12:06,76781.035,76781.03066694694,0.00999999999476131,-0.5585614241491016
85,76774.19,76774.2,18:12:11,76774.195,76774.19045020151,0.00999999999476131,-0.5987632738740929
86,76769.82,76769.83,18:12:16,76769.82500000001,76769.82373472865,0.00999999999476131,-0.3102804201275419
87,76762.14,76762.15,18:12:21,76762.14499999999,76762.14500045477,0.00999999999476131,-0.38717987667831316
88,76762.14,76762.15,18:12:26,76762.14499999999,76762.14411282718,0.00999999999476131,-0.4356826734867295
89,76762.14,76762.15,18:12:32,76762.14499999999,76762.14107121514,0.00999999999476131,-0.49807432804183766
90,76760.97,76760.98,18:12:36,76760.975,76760.97097255824,0.00999999999476131,-0.5319946154787955
91,76770.43,76770.44,18:12:41,76770.435,76770.43964933984,0.010000000009313226,0.44570021002482446
92,76781.73,76781.74,18:12:46,76781.735,76781.73762645663,0.010000000009313226,0.45835958323237236
93,76790.92,76790.93,18:12:51,76790.92499999999,76790.92857944782,0.00999999999476131,0.6530468560961838
94,76793.84,76793.85,18:12:57,76793.845,76793.84855874747,0.010000000009313226,0.48315716310582263
95,76793.84,76793.85,18:13:01,76793.845,76793.84917239932,0.010000000009313226,0.5805967823453606
96,76793.84,76793.85,18:13:06,76793.845,76793.84923541677,0.010000000009313226,0.5845302507083193
97,76800.37,76800.38,18:13:11,76800.375,76800.37944303066,0.010000000009313226,0.7505430939216247
98,76800.37,76800.38,18:13:16,76800.375,76800.37750251025,0.010000000009313226,0.5549207527657559
99,76803.83,76803.84,18:13:21,76803.83499999999,76803.8394701182,0.00999999999476131,0.6739778411501749
100,76803.83,76803.84,18:13:26,76803.83499999999,76803.83960003419,0.00999999999476131,0.5450011755050582
101,76809.64,76809.65,18:13:31,76809.64499999999,76809.64873814651,0.00999999999476131,0.5253449607641788
102,76809.64,76809.65,18:13:37,76809.64499999999,76809.64597460335,0.00999999999476131,0.24549119440551942
103,76809.64,76809.65,18:13:41,76809.64499999999,76809.64547900837,0.00999999999476131,0.20770186813761118
104,76809.64,76809.65,18:13:46,76809.64499999999,76809.6453084969,0.00999999999476131,0.2187703069602035
