snapshot,timestamp,mid_price,spread,imbalance
3585,2026-05-21 19:12:10,77293.32498741668,0.00999999999476131,0.001468097120271046
3586,2026-05-21 19:12:15,77293.32681607603,0.00999999999476131,-0.36301410232733583
3587,2026-05-21 19:12:20,77293.32798471134,0.00999999999476131,-0.5699957266031522
3588,2026-05-21 19:12:25,77293.32507197063,0.00999999999476131,-0.013334848388005603
3589,2026-05-21 19:12:30,77293.32515036542,0.00999999999476131,-0.032230045646911
3590,2026-05-21 19:12:35,77293.32936961125,0.00999999999476131,-0.8746421928949231
3591,2026-05-21 19:12:40,77292.00026038862,0.00999999999476131,0.9692754151715215
3592,2026-05-21 19:12:45,77292.0002985718,0.00999999999476131,0.93403147027842
3593,2026-05-21 19:12:50,77298.01001158687,0.010000000009313226,0.9966286930264793
3594,2026-05-21 19:12:55,77305.36008582264,0.00999999999476131,0.9794606151178809
3595,2026-05-21 19:13:00,77305.6601781941,0.00999999999476131,0.9764770936183184
3596,2026-05-21 19:13:05,77305.66010458981,0.00999999999476131,0.9855821696966691
3597,2026-05-21 19:13:10,77310.9727409397,0.00999999999476131,0.46791509022401134
3598,2026-05-21 19:13:15,77310.97867121859,0.00999999999476131,-0.7405717273759905
3599,2026-05-21 19:13:20,77310.97817583567,0.00999999999476131,-0.6327623520555735
3600,2026-05-21 19:13:25,77310.97818486964,0.00999999999476131,-0.6340017827194497
3601,2026-05-21 19:13:30,77310.97240236045,0.00999999999476131,0.5125717097966049
3602,2026-05-21 19:13:35,77310.97080193667,0.00999999999476131,0.8377318476806189
3603,2026-05-21 19:13:40,77316.16057510719,0.00999999999476131,0.8964641254717591
3604,2026-05-21 19:13:45,77316.16087034084,0.00999999999476131,0.8436032870278074
3605,2026-05-21 19:13:50,77316.16030478018,0.00999999999476131,0.9447341242852466
3606,2026-05-21 19:13:55,77345.69771968805,0.00999999999476131,-0.5266401145429893
3607,2026-05-21 19:14:00,77345.69702801375,0.00999999999476131,-0.3904259060726891
3608,2026-05-21 19:14:05,77345.69771913001,0.00999999999476131,-0.5238053451116897
3609,2026-05-21 19:14:10,77345.69686547146,0.00999999999476131,-0.3600163597323366
3610,2026-05-21 19:14:15,77334.1682087042,0.00999999999476131,-0.6912373219220479
3611,2026-05-21 19:14:20,77327.28918432684,0.00999999999476131,-0.8371224604008758
3612,2026-05-21 19:14:25,77318.398775452,0.00999999999476131,-0.7673083561754994
